id,lang,title,arabicText,transliteration,translation,category,reference,source,count,isFeatured
morning_1,es,Al comenzar el día,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,Asbahna wa asbaha l-mulku lillah,Hemos amanecido y el dominio pertenece a Allah.,morning,"Al-Bukhari 3186, Muslim 2723",Hisnul Muslim,1,true
morning_1,en,,,,,,,,,false
morning_1,ar,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,,,morning,"Al-Bukhari 3186, Muslim 2723",Hisnul Muslim,1,true
morning_2,es,Al despertar del sueño,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,Alhamdu lillahi alladhi ahyana ba'da ma amatana wa ilayhi n-nushur,"Alabado sea Allah, que nos devolvió la vida después de habernos hecho morir, y hacia Él será el retorno.",morning,Al-Bukhari 6312,Hisnul Muslim,1,true
morning_2,en,,,,,,,,,false
morning_2,ar,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,,,morning,Al-Bukhari 6312,Hisnul Muslim,1,true
morning_3,es,Protección de la mañana,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,A'udhu bi kalimati llahi t-tammati min sharri ma khalaq,Busco refugio en las palabras completas de Allah del mal de lo que ha creado.,morning,Muslim 2709,Hisnul Muslim,3,false
morning_3,en,,,,,,,,,false
morning_3,ar,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,,,morning,Muslim 2709,Hisnul Muslim,3,false
morning_4,es,Al salir de casa por la mañana,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ لاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,Bismillah tawakkaltu alallah wa la hawla wa la quwwata illa billah,En el nombre de Allah. En Allah pongo mi confianza. No hay fuerza ni poder sino en Allah.,morning,Abu Dawud 5095,Hisnul Muslim,1,false
morning_4,en,,,,,,,,,false
morning_4,ar,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ لاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ لاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,,,morning,Abu Dawud 5095,Hisnul Muslim,1,false
morning_5,es,Al vestirse,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,Alhamdu lillahi alladhi kasani hadha wa razaqanihi min ghayri hawlin minni wa la quwwah,Alabado sea Allah que me ha vestido esto y me lo ha proveído sin esfuerzo ni poder mío.,morning,Abu Dawud 4023,Hisnul Muslim,1,false
morning_5,en,,,,,,,,,false
morning_5,ar,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,,,morning,Abu Dawud 4023,Hisnul Muslim,1,false
morning_6,es,Al entrar al baño,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,Allahumma inni a'udhu minal-khuthuthi wa l-khaba'ith,"Oh Allah, busco Tu protección de los masculinos y femeninos inmundos.",morning,Al-Bukhari 6322,Hisnul Muslim,1,false
morning_6,en,,,,,,,,,false
morning_6,ar,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,,,morning,Al-Bukhari 6322,Hisnul Muslim,1,false
morning_7,es,Al salir del baño,غُفْرَانَكَ,Ghufranaka,Te pidoTu perdón.,morning,Abu Dawud 30,Hisnul Muslim,1,false
morning_7,en,,,,,,,,,false
morning_7,ar,غُفْرَانَكَ,غُفْرَانَكَ,,,morning,Abu Dawud 30,Hisnul Muslim,1,false
night_1,es,Al comenzar la noche,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ,Amsayna wa amsa l-mulku lillah,Hemos anochecido y el dominio pertenece a Allah.,night,Muslim 2723,Hisnul Muslim,1,true
night_1,en,,,,,,,,,false
night_1,ar,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ,,,night,Muslim 2723,Hisnul Muslim,1,true
night_2,es,Confianza en Allah al dormir,حَسْبِيَ اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ,Hasbiya Allahu la ilaha illa huwa alayhi tawakkaltu wa huwa rabbu l-arshi l-azim,Allah me basta. No hay divinidad sino Él. En Él confío y Él es el Señor del Trono Grande.,night,"Al-Bukhari 3193, At-Tirmidhi 3394",Hisnul Muslim,1,true
night_2,en,,,,,,,,,false
night_2,ar,حَسْبِيَ اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ,حَسْبِيَ اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ,,,night,"Al-Bukhari 3193, At-Tirmidhi 3394",Hisnul Muslim,1,true
night_3,es,Al acostarse,اللَّهُمَّ قِنِي عَذَابَكَ يَوْمَ تَبْعَثُ عِبَادَكَ,Allahumma qini adhaba-ka yawma tab'athu ibadaka,"Oh Allah, concédeme protección contra Tu castigo el día en que resucites a Tus siervos.",night,Abu Dawud 5045,Hisnul Muslim,1,false
night_3,en,,,,,,,,,false
night_3,ar,اللَّهُمَّ قِنِي عَذَابَكَ يَوْمَ تَبْعَثُ عِبَادَكَ,اللَّهُمَّ قِنِي عَذَابَكَ يَوْمَ تَبْعَثُ عِبَادَكَ,,,night,Abu Dawud 5045,Hisnul Muslim,1,false
night_4,es,Dua de Laylatul Qadr,اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,Allahumma innaka 'afuwwun karimun tuhibbu l-'afwa fa'fu 'anni,"Oh Allah, realmente eres Perdonador y Generoso, Te gusta el perdón, perdóname.",night,At-Tirmidhi 3513,Hisnul Muslim,1,false
night_4,en,,,,,,,,,false
night_4,ar,اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,,,night,At-Tirmidhi 3513,Hisnul Muslim,1,false
sleep_1,es,Antes de dormir,بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا,Bismika Allahumma amutu wa ahya,"En Tu nombre, oh Allah, muero y vivo.",sleep,Al-Bukhari 6324,Hisnul Muslim,1,true
sleep_1,en,,,,,,,,,false
sleep_1,ar,بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا,بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا,,,sleep,Al-Bukhari 6324,Hisnul Muslim,1,true
sleep_2,es,Al darse la vuelta en la cama,لاَ إِلَهَ إِلاَّ اللَّهُ الْوَاحِدُ الْقَهَّارُ,La ilaha illa Allahu l-wahidu l-qahhar,"No hay divinidad sino Allah, el Único, el Dominador.",sleep,At-Tirmidhi 3397,Hisnul Muslim,1,false
sleep_2,en,,,,,,,,,false
sleep_2,ar,لاَ إِلَهَ إِلاَّ اللَّهُ الْوَاحِدُ الْقَهَّارُ,لاَ إِلَهَ إِلاَّ اللَّهُ الْوَاحِدُ الْقَهَّارُ,,,sleep,At-Tirmidhi 3397,Hisnul Muslim,1,false
sleep_3,es,Protección al dormir,أَعُوذُ بِعِزَّةِ اللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ,A'udhu bi-izzati Allahi wa qudratihi min sharri ma ajidu,Busco refugio en el poder y fuerza de Allah del mal que me afecta.,sleep,Abu Dawud 3894,Hisnul Muslim,1,false
sleep_3,en,,,,,,,,,false
sleep_3,ar,أَعُوذُ بِعِزَّةِ اللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ,أَعُوذُ بِعِزَّةِ اللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ,,,sleep,Abu Dawud 3894,Hisnul Muslim,1,false
sleep_4,es,Al dormir en la mezquita,اللَّهُمَّ رَبَّ الْمَلَكُوتِ,,"Oh Allah, Señor del dominio.",sleep,Al-Bukhari 6321,Hisnul Muslim,1,false
sleep_4,en,,,,,,,,,false
sleep_4,ar,اللَّهُمَّ رَبَّ الْمَلَكُوتِ,اللَّهُمَّ رَبَّ الْمَلَكُوتِ,,,sleep,Al-Bukhari 6321,Hisnul Muslim,1,false
sleep_5,es,Dua antes de despertar,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا,,Alabado sea Allah que nos dio vida después de habernos hecho morir.,sleep,Al-Bukhari 6312,Hisnul Muslim,1,false
sleep_5,en,,,,,,,,,false
sleep_5,ar,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا,,,sleep,Al-Bukhari 6312,Hisnul Muslim,1,false
travel_1,es,Al montar en el vehículo,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ وَإِنَّا إِلَى رَبِّنَا لَمُنْقَلِبُونَ,Subhana alladhi sakhkhara lana hadha wa ma kunna lahu muqrinin wa inna ila Rabbina lamunqalibun,Glorificado sea Quien nos ha puesto esto a nuestro servicio. No hubiéramos podido controlarlo y hacia nuestro Señor retornaremos.,travel,Az-Zukhruf 43:13-14,Hisnul Muslim,1,true
travel_1,en,,,,,,,,,false
travel_1,ar,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ وَإِنَّا إِلَى رَبِّنَا لَمُنْقَلِبُونَ,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ وَإِنَّا إِلَى رَبِّنَا لَمُنْقَلِبُونَ,,,travel,Az-Zukhruf 43:13-14,Hisnul Muslim,1,true
travel_2,es,Al salir de viaje,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ وَعْثَاءِ السَّفَرِ وَكَآبَةِ الْمَنْظَرِ وَسُوءِ الْمُنْقَلَبِ,Allahumma inni a'udhu min wathaa'i s-safari wa kabatati l-manzari wa su'i l-munqalib,"Oh Allah, busco Tu protección contra las dificultades del viaje, la tristeza del retorno y el mal del destino.",travel,Abu Dawud 2597,Hisnul Muslim,1,false
travel_2,en,,,,,,,,,false
travel_2,ar,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ وَعْثَاءِ السَّفَرِ وَكَآبَةِ الْمَنْظَرِ وَسُوءِ الْمُنْقَلَبِ,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ وَعْثَاءِ السَّفَرِ وَكَآبَةِ الْمَنْظَرِ وَسُوءِ الْمُنْقَلَبِ,,,travel,Abu Dawud 2597,Hisnul Muslim,1,false
travel_3,es,Al entrar en una ciudad,اللَّهُمَّ بَارِكْ لَنَا فِيهِ,Allahumma barik lana fihi,"Oh Allah, bendícenos en él.",travel,Abu Dawud 3930,Hisnul Muslim,1,false
travel_3,en,,,,,,,,,false
travel_3,ar,اللَّهُمَّ بَارِكْ لَنَا فِيهِ,اللَّهُمَّ بَارِكْ لَنَا فِيهِ,,,travel,Abu Dawud 3930,Hisnul Muslim,1,false
travel_4,es,Al montar en el avión,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ,Subhana alladhi sakhkhara lana hadha wa ma kunna lahu muqrinin,Glorificado sea Quien puso esto a nuestro servicio cuando noi hubiéramos podido controlarlo.,travel,Az-Zukhruf 43:13,Hisnul Muslim,1,false
travel_4,en,,,,,,,,,false
travel_4,ar,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ,,,travel,Az-Zukhruf 43:13,Hisnul Muslim,1,false
travel_5,es,Dua del viajero,اللَّهُمَّ اجْعَلْ لَنَا مِنْهُ خَارِجًا وَمَدْخَلًا وَاجْعَلْ لَنَا مِنْهُ وَجْهًا,Allahumma ja'lana minhu kharijan wa madkhalan wa ja'lana minhu wajhan,"Oh Allah, haz que tengamos una salida y entrada seguras y un destino.",travel,Ibn As-Sunni 269,Hisnul Muslim,1,false
travel_5,en,,,,,,,,,false
travel_5,ar,اللَّهُمَّ اجْعَلْ لَنَا مِنْهُ خَارِجًا وَمَدْخَلًا وَاجْعَلْ لَنَا مِنْهُ وَجْهًا,اللَّهُمَّ اجْعَلْ لَنَا مِنْهُ خَارِجًا وَمَدْخَلًا وَاجْعَلْ لَنَا مِنْهُ وَجْهًا,,,travel,Ibn As-Sunni 269,Hisnul Muslim,1,false
food_1,es,Antes de comer,بِسْمِ اللَّهِ,Bismillah,En el nombre de Allah.,food,At-Tirmidhi 1858,Hisnul Muslim,1,true
food_1,en,,,,,,,,,false
food_1,ar,بِسْمِ اللَّهِ,بِسْمِ اللَّهِ,,,food,At-Tirmidhi 1858,Hisnul Muslim,1,true
food_2,es,Después de comer,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,Alhamdu lillahi alladhi at'amani hadha wa razaqanihi min ghayri hawlin minni wa la quwwah,Alabado sea Allah que me alimentó con esto y me lo proveyó sin esfuerzo ni poder mío.,food,Abu Dawud 4023,Hisnul Muslim,1,true
food_2,en,,,,,,,,,false
food_2,ar,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,,,food,Abu Dawud 4023,Hisnul Muslim,1,true
food_3,es,Al beber agua,الْحَمْدُ لِلَّهِ,Alhamdu lillah,Alabado sea Allah.,food,At-Tirmidhi 3456,Hisnul Muslim,1,false
food_3,en,,,,,,,,,false
food_3,ar,الْحَمْدُ لِلَّهِ,الْحَمْدُ لِلَّهِ,,,food,At-Tirmidhi 3456,Hisnul Muslim,1,false
food_4,es,Al romper el ayuno,اللَّهُمَّ لَكَ صُمْتُ وَبِكَ آمَنْتُ وَعَلَيْكَ تَوَكَّلْتُ وَبِرَّكَ أَفْطَرْتُ,Allahumma laka sumtu wa bika amantu wa alayka tawakkaltu wa bi-ka afartu,"Oh Allah, por Ti he ayunado, en Ti he creído, en Ti he confiado y con Tu bendición he roto el ayuno.",food,Abu Dawud 2045,Hisnul Muslim,1,true
food_4,en,,,,,,,,,false
food_4,ar,اللَّهُمَّ لَكَ صُمْتُ وَبِكَ آمَنْتُ وَعَلَيْكَ تَوَكَّلْتُ وَبِرَّكَ أَفْطَرْتُ,اللَّهُمَّ لَكَ صُمْتُ وَبِكَ آمَنْتُ وَعَلَيْكَ تَوَكَّلْتُ وَبِرَّكَ أَفْطَرْتُ,,,food,Abu Dawud 2045,Hisnul Muslim,1,true
food_5,es,Antes de comer el Eid,اللَّهُمَّ أَطْعِمْ مَنْ عَفَا وَاكْسُ مَنْ عَفَا,,"Oh Allah, alimenta a quien ha perdonado y viste a quien ha perdonado.",food,At-Tirmidhi 1020,Hisnul Muslim,1,false
food_5,en,,,,,,,,,false
food_5,ar,اللَّهُمَّ أَطْعِمْ مَنْ عَفَا وَاكْسُ مَنْ عَفَا,اللَّهُمَّ أَطْعِمْ مَنْ عَفَا وَاكْسُ مَنْ عَفَا,,,food,At-Tirmidhi 1020,Hisnul Muslim,1,false
sickness_1,es,Pidiendo curación,اللَّهُمَّ رَبَّ النَّاسِ أَذْهِبِ الْبَأْسَ اشْفِ أَنْتَ الشَّافِي لاَ شِفَاءَ إِلاَّ شِفَاؤُكَ,"Allahumma Rabba n-nas, adhhibi l-ba'sa, ishfi anta sh-Shafi, la shifa'a illa shifa'uk","Oh Allah, Señor de la humanidad, elimina el daño, sana Tu eres el Sanador, no hay sanación sino la Tuya.",sickness,Al-Bukhari 5742,Hisnul Muslim,1,true
sickness_1,en,,,,,,,,,false
sickness_1,ar,اللَّهُمَّ رَبَّ النَّاسِ أَذْهِبِ الْبَأْسَ اشْفِ أَنْتَ الشَّافِي لاَ شِفَاءَ إِلاَّ شِفَاؤُكَ,اللَّهُمَّ رَبَّ النَّاسِ أَذْهِبِ الْبَأْسَ اشْفِ أَنْتَ الشَّافِي لاَ شِفَاءَ إِلاَّ شِفَاؤُكَ,,,sickness,Al-Bukhari 5742,Hisnul Muslim,1,true
sickness_2,es,Al visitar a un enfermo,لاَ بَأْسَ طَهُورٌ إِنْ شَاءَ اللَّهُ,La ba'sa tahurun in sha' Allah,"No hay mal, será una purificación, si Allah quiere.",sickness,Al-Bukhari 5662,Hisnul Muslim,1,false
sickness_2,en,,,,,,,,,false
sickness_2,ar,لاَ بَأْسَ طَهُورٌ إِنْ شَاءَ اللَّهُ,لاَ بَأْسَ طَهُورٌ إِنْ شَاءَ اللَّهُ,,,sickness,Al-Bukhari 5662,Hisnul Muslim,1,false
sickness_3,es,Oración del enfermo,رَبِّ اشْفِهِ وَعَافِهِ,Rabbi ishfi-hi wa 'afihi,"Señor mío, sanalo y dale salud.",sickness,Al-Bukhari 5641,Hisnul Muslim,1,false
sickness_3,en,,,,,,,,,false
sickness_3,ar,رَبِّ اشْفِهِ وَعَافِهِ,رَبِّ اشْفِهِ وَعَافِهِ,,,sickness,Al-Bukhari 5641,Hisnul Muslim,1,false
sickness_4,es,Al sentirse mal,بِسْمِ اللَّهِ أَعُوذُ بِعِزَّةِ اللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ,Bismillah a'udhu bi-izzati Allahi wa qudratihi min sharri ma ajidu,En el nombre de Allah. Busco refugio en el poder y fuerza de Allah del mal que me afecta.,sickness,Abu Dawud 3894,Hisnul Muslim,1,false
sickness_4,en,,,,,,,,,false
sickness_4,ar,بِسْمِ اللَّهِ أَعُوذُ بِعِزَّةِ اللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ,بِسْمِ اللَّهِ أَعُوذُ بِعِزَّةِ اللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ,,,sickness,Abu Dawud 3894,Hisnul Muslim,1,false
sickness_5,es,Dua para el dolor de cabeza,بِسْمِ اللَّهِ أَرْقيكَ مِنْ كُلِّ شَيْءٍ يُؤْذِيكَ وَمِنْ شَرِّ كُلِّ نَفْسٍ أَوْ عَيْنٍ حَاسِدٍ,Bismillah arqika min kulli shay'in yudhika wa min sharri kulli nafsin aw 'aynin hasidin,En el nombre de Allah te conjuro contra todo lo que te daña y contra el mal de toda persona envidiosa.,sickness,Al-Bukhari 5740,Hisnul Muslim,1,false
sickness_5,en,,,,,,,,,false
sickness_5,ar,بِسْمِ اللَّهِ أَرْقيكَ مِنْ كُلِّ شَيْءٍ يُؤْذِيكَ وَمِنْ شَرِّ كُلِّ نَفْسٍ أَوْ عَيْنٍ حَاسِدٍ,بِسْمِ اللَّهِ أَرْقيكَ مِنْ كُلِّ شَيْءٍ يُؤْذِيكَ وَمِنْ شَرِّ كُلِّ نَفْسٍ أَوْ عَيْنٍ حَاسِدٍ,,,sickness,Al-Bukhari 5740,Hisnul Muslim,1,false
